Genomic locus      	RRC Startpoint rate      	RRC Midpoint rate      	RRC Endpoint rate      	Comeron Startpoint rate      	Comeron Midpoint rate      	Comeron Endpoint rate
3R:7600000..7700000      	1.35      	1.37      	1.38      	1.31      	1.09      	1.09
3R:7700000..7800000      	1.38      	1.40      	1.41      	1.09      	0.76      	0.76
3R:7800000..7900000      	1.41      	1.43      	1.44      	0.76      	0.65      	0.65
3R:7900000..8000000      	1.44      	1.46      	1.47      	0.65      	1.74      	1.74
3R:8000000..8100000      	1.47      	1.49      	1.50      	1.74      	1.31      	1.31
3R:8100000..8200000      	1.50      	1.51      	1.53      	1.31      	1.74      	1.74
3R:8200000..8300000      	1.53      	1.54      	1.56      	1.74      	0.65      	0.65
3R:8300000..8400000      	1.56      	1.57      	1.59      	0.65      	0.33      	0.33
3R:8400000..8500000      	1.59      	1.60      	1.61      	0.33      	2.50      	2.50
3R:8500000..8600000      	1.61      	1.63      	1.64      	2.50      	1.63      	1.63
3R:8600000..8700000      	1.64      	1.66      	1.67      	1.63      	0.44      	0.44
3R:8700000..8800000      	1.67      	1.68      	1.70      	0.44      	1.31      	1.31
3R:8800000..8900000      	1.70      	1.71      	1.72      	1.31      	1.63      	1.63
3R:8900000..9000000      	1.72      	1.74      	1.75      	1.63      	3.05      	3.05
3R:9000000..9100000      	1.75      	1.76      	1.78      	3.05      	0.87      	0.87
3R:9100000..9200000      	1.78      	1.79      	1.80      	0.87      	0.33      	0.33
3R:9200000..9300000      	1.80      	1.82      	1.83      	0.33      	0.76      	0.76
3R:9300000..9400000      	1.83      	1.84      	1.85      	0.76      	0.87      	0.87
3R:9400000..9500000      	1.85      	1.87      	1.88      	0.87      	0.54      	0.54
3R:9500000..9600000      	1.88      	1.89      	1.91      	0.54      	0.87      	0.87
3R:9600000..9700000      	1.91      	1.92      	1.93      	0.87      	1.85      	1.85
3R:9700000..9800000      	1.93      	1.94      	1.96      	1.85      	3.05      	3.05
3R:9800000..9900000      	1.96      	1.97      	1.98      	3.05      	7.51      	7.51
3R:9900000..10000000      	1.98      	1.99      	2.00      	7.51      	3.26      	3.26
3R:10000000..10100000      	2.00      	2.02      	2.03      	3.26      	1.96      	1.96
3R:10100000..10200000      	2.03      	2.04      	2.05      	1.96      	1.63      	1.63
3R:10200000..10300000      	2.05      	2.06      	2.08      	1.63      	8.05      	8.05
3R:10300000..10400000      	2.08      	2.09      	2.10      	8.05      	1.96      	1.96
3R:10400000..10500000      	2.10      	2.11      	2.12      	1.96      	1.63      	1.63
3R:10500000..10600000      	2.12      	2.13      	2.15      	1.63      	3.26      	3.26
3R:10600000..10700000      	2.15      	2.16      	2.17      	3.26      	0.87      	0.87
