Genomic locus      	RRC Startpoint rate      	RRC Midpoint rate      	RRC Endpoint rate      	Comeron Startpoint rate      	Comeron Midpoint rate      	Comeron Endpoint rate
3L:7600000..7700000      	3.36      	3.36      	3.36      	2.01      	1.11      	1.11
3L:7700000..7800000      	3.36      	3.35      	3.35      	1.11      	0.83      	0.83
3L:7800000..7900000      	3.35      	3.34      	3.34      	0.83      	3.25      	3.25
3L:7900000..8000000      	3.34      	3.33      	3.33      	3.25      	2.70      	2.70
3L:8000000..8100000      	3.33      	3.33      	3.32      	2.70      	4.43      	4.43
3L:8100000..8200000      	3.32      	3.32      	3.31      	4.43      	1.87      	1.87
3L:8200000..8300000      	3.31      	3.31      	3.30      	1.87      	1.94      	1.94
3L:8300000..8400000      	3.30      	3.29      	3.29      	1.94      	2.22      	2.22
3L:8400000..8500000      	3.29      	3.28      	3.28      	2.22      	2.63      	2.63
3L:8500000..8600000      	3.28      	3.27      	3.27      	2.63      	3.88      	3.88
3L:8600000..8700000      	3.27      	3.26      	3.26      	3.88      	3.67      	3.67
3L:8700000..8800000      	3.26      	3.25      	3.24      	3.67      	3.88      	3.88
3L:8800000..8900000      	3.24      	3.24      	3.23      	3.88      	2.63      	2.63
3L:8900000..9000000      	3.23      	3.22      	3.22      	2.63      	1.45      	1.45
3L:9000000..9100000      	3.22      	3.21      	3.21      	1.45      	1.11      	1.11
3L:9100000..9200000      	3.21      	3.20      	3.19      	1.11      	5.05      	5.05
3L:9200000..9300000      	3.19      	3.18      	3.18      	5.05      	7.82      	7.82
3L:9300000..9400000      	3.18      	3.17      	3.16      	7.82      	2.91      	2.91
3L:9400000..9500000      	3.16      	3.16      	3.15      	2.91      	0.69      	0.69
3L:9500000..9600000      	3.15      	3.14      	3.13      	0.69      	3.67      	3.67
3L:9600000..9700000      	3.13      	3.13      	3.12      	3.67      	3.18      	3.18
3L:9700000..9800000      	3.12      	3.11      	3.10      	3.18      	3.39      	3.39
3L:9800000..9900000      	3.10      	3.10      	3.09      	3.39      	1.11      	1.11
3L:9900000..10000000      	3.09      	3.08      	3.07      	1.11      	2.56      	2.56
3L:10000000..10100000      	3.07      	3.06      	3.05      	2.56      	1.04      	1.04
3L:10100000..10200000      	3.05      	3.05      	3.04      	1.04      	2.91      	2.91
3L:10200000..10300000      	3.04      	3.03      	3.02      	2.91      	1.18      	1.18
3L:10300000..10400000      	3.02      	3.01      	3.00      	1.18      	2.08      	2.08
3L:10400000..10500000      	3.00      	2.99      	2.98      	2.08      	5.26      	5.26
3L:10500000..10600000      	2.98      	2.98      	2.97      	5.26      	7.55      	7.55
3L:10600000..10700000      	2.97      	2.96      	2.95      	7.55      	3.46      	3.46
3L:10700000..10800000      	2.95      	2.94      	2.93      	3.46      	3.95      	3.95
3L:10800000..10900000      	2.93      	2.92      	2.91      	3.95      	3.53      	3.53
3L:10900000..11000000      	2.91      	2.90      	2.89      	3.53      	4.29      	4.29
3L:11000000..11100000      	2.89      	2.88      	2.87      	4.29      	4.22      	4.22
3L:11100000..11200000      	2.87      	2.86      	2.85      	4.22      	3.12      	3.12
3L:11200000..11300000      	2.85      	2.84      	2.83      	3.12      	4.08      	4.08
3L:11300000..11400000      	2.83      	2.82      	2.81      	4.08      	3.05      	3.05
3L:11400000..11500000      	2.81      	2.79      	2.78      	3.05      	3.18      	3.18
3L:11500000..11600000      	2.78      	2.77      	2.76      	3.18      	2.77      	2.77
3L:11600000..11700000      	2.76      	2.75      	2.74      	2.77      	0.62      	0.62
3L:11700000..11800000      	2.74      	2.73      	2.72      	0.62      	0.42      	0.42
3L:11800000..11900000      	2.72      	2.71      	2.69      	0.42      	1.66      	1.66
3L:11900000..12000000      	2.69      	2.68      	2.67      	1.66      	1.87      	1.87
3L:12000000..12100000      	2.67      	2.66      	2.65      	1.87      	3.46      	3.46
3L:12100000..12200000      	2.65      	2.63      	2.62      	3.46      	1.45      	1.45
3L:12200000..12300000      	2.62      	2.61      	2.60      	1.45      	1.59      	1.59
3L:12300000..12400000      	2.60      	2.59      	2.57      	1.59      	2.22      	2.22
3L:12400000..12500000      	2.57      	2.56      	2.55      	2.22      	5.95      	5.95
3L:12500000..12600000      	2.55      	2.54      	2.52      	5.95      	6.51      	6.51
3L:12600000..12700000      	2.52      	2.51      	2.50      	6.51      	4.22      	4.22
3L:12700000..12800000      	2.50      	2.48      	2.47      	4.22      	2.22      	2.22
3L:12800000..12900000      	2.47      	2.46      	2.44      	2.22      	3.39      	3.39
3L:12900000..13000000      	2.44      	2.43      	2.42      	3.39      	2.63      	2.63
3L:13000000..13100000      	2.42      	2.40      	2.39      	2.63      	1.87      	1.87
3L:13100000..13200000      	2.39      	2.38      	2.36      	1.87      	2.22      	2.22
3L:13200000..13300000      	2.36      	2.35      	2.33      	2.22      	1.87      	1.87
3L:13300000..13400000      	2.33      	2.32      	2.31      	1.87      	1.52      	1.52
3L:13400000..13500000      	2.31      	2.29      	2.28      	1.52      	1.32      	1.32
3L:13500000..13600000      	2.28      	2.26      	2.25      	1.32      	1.45      	1.45
