Genomic locus      	RRC Startpoint rate      	RRC Midpoint rate      	RRC Endpoint rate      	Comeron Startpoint rate      	Comeron Midpoint rate      	Comeron Endpoint rate
2R:0..100000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
2R:100000..200000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
2R:200000..300000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
2R:300000..400000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
2R:400000..500000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
2R:500000..600000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
2R:600000..700000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
2R:700000..800000      	0.00      	0.00      	0.00      	0.00      	0.11      	0.11
2R:800000..900000      	0.00      	0.00      	0.00      	0.11      	1.19      	1.19
2R:900000..1000000      	0.00      	0.00      	0.00      	1.19      	0.22      	0.22
2R:1000000..1100000      	0.00      	0.00      	0.00      	0.22      	0.54      	0.54
2R:1100000..1200000      	0.00      	0.00      	0.00      	0.54      	0.00      	0.00
2R:1200000..1300000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
2R:1300000..1400000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
2R:1400000..1500000      	0.00      	0.00      	0.00      	0.00      	0.43      	0.43
2R:1500000..1600000      	0.00      	0.00      	0.00      	0.43      	1.19      	1.19
2R:1600000..1700000      	0.00      	0.00      	0.00      	1.19      	0.22      	0.22
2R:1700000..1800000      	0.00      	0.00      	0.00      	0.22      	0.22      	0.22
2R:1800000..1900000      	0.00      	0.00      	0.00      	0.22      	0.00      	0.00
2R:1900000..2000000      	0.00      	0.00      	0.00      	0.00      	0.33      	0.33
2R:2000000..2100000      	0.00      	0.00      	0.00      	0.33      	0.54      	0.54
2R:2100000..2200000      	0.00      	0.00      	0.00      	0.54      	0.00      	0.00
2R:2200000..2300000      	0.00      	0.02      	0.05      	0.00      	0.22      	0.22
2R:2300000..2400000      	0.05      	0.08      	0.11      	0.22      	0.00      	0.00
2R:2400000..2500000      	0.11      	0.14      	0.16      	0.00      	0.98      	0.98
2R:2500000..2600000      	0.16      	0.19      	0.22      	0.98      	0.54      	0.54
2R:2600000..2700000      	0.22      	0.25      	0.28      	0.54      	0.54      	0.54
2R:2700000..2800000      	0.28      	0.31      	0.34      	0.54      	0.11      	0.11
2R:2800000..2900000      	0.34      	0.37      	0.39      	0.11      	0.11      	0.11
2R:2900000..3000000      	0.39      	0.42      	0.45      	0.11      	1.84      	1.84
2R:3000000..3100000      	0.45      	0.48      	0.51      	1.84      	0.43      	0.43
2R:3100000..3200000      	0.51      	0.53      	0.56      	0.43      	0.22      	0.22
2R:3200000..3300000      	0.56      	0.59      	0.61      	0.22      	0.76      	0.76
2R:3300000..3400000      	0.61      	0.64      	0.67      	0.76      	2.39      	2.39
2R:3400000..3500000      	0.67      	0.70      	0.72      	2.39      	0.54      	0.54
2R:3500000..3600000      	0.72      	0.75      	0.78      	0.54      	2.28      	2.28
2R:3600000..3700000      	0.78      	0.80      	0.83      	2.28      	0.33      	0.33
2R:3700000..3800000      	0.83      	0.85      	0.88      	0.33      	2.28      	2.28
2R:3800000..3900000      	0.88      	0.91      	0.93      	2.28      	0.54      	0.54
2R:3900000..4000000      	0.93      	0.96      	0.98      	0.54      	0.43      	0.43
2R:4000000..4100000      	0.98      	1.01      	1.04      	0.43      	1.41      	1.41
2R:4100000..4200000      	1.04      	1.06      	1.09      	1.41      	0.22      	0.22
2R:4200000..4300000      	1.09      	1.11      	1.14      	0.22      	0.87      	0.87
2R:4300000..4400000      	1.14      	1.16      	1.19      	0.87      	0.22      	0.22
2R:4400000..4500000      	1.19      	1.21      	1.23      	0.22      	1.30      	1.30
2R:4500000..4600000      	1.23      	1.26      	1.28      	1.30      	1.08      	1.08
2R:4600000..4700000      	1.28      	1.31      	1.33      	1.08      	0.33      	0.33
2R:4700000..4800000      	1.33      	1.35      	1.38      	0.33      	0.54      	0.54
2R:4800000..4900000      	1.38      	1.40      	1.43      	0.54      	1.30      	1.30
2R:4900000..5000000      	1.43      	1.45      	1.47      	1.30      	1.41      	1.41
2R:5000000..5100000      	1.47      	1.50      	1.52      	1.41      	0.87      	0.87
2R:5100000..5200000      	1.52      	1.54      	1.56      	0.87      	0.65      	0.65
2R:5200000..5300000      	1.56      	1.59      	1.61      	0.65      	2.49      	2.49
2R:5300000..5400000      	1.61      	1.63      	1.65      	2.49      	5.53      	5.53
2R:5400000..5500000      	1.65      	1.68      	1.70      	5.53      	2.60      	2.60
2R:5500000..5600000      	1.70      	1.72      	1.74      	2.60      	1.19      	1.19
2R:5600000..5700000      	1.74      	1.76      	1.79      	1.19      	3.90      	3.90
2R:5700000..5800000      	1.79      	1.81      	1.83      	3.90      	1.08      	1.08
2R:5800000..5900000      	1.83      	1.85      	1.87      	1.08      	0.76      	0.76
2R:5900000..6000000      	1.87      	1.89      	1.91      	0.76      	1.74      	1.74
2R:6000000..6100000      	1.91      	1.93      	1.96      	1.74      	0.98      	0.98
2R:6100000..6200000      	1.96      	1.98      	2.00      	0.98      	3.25      	3.25
2R:6200000..6300000      	2.00      	2.02      	2.04      	3.25      	2.28      	2.28
2R:6300000..6400000      	2.04      	2.06      	2.08      	2.28      	1.95      	1.95
2R:6400000..6500000      	2.08      	2.10      	2.12      	1.95      	2.49      	2.49
2R:6500000..6600000      	2.12      	2.14      	2.16      	2.49      	2.17      	2.17
2R:6600000..6700000      	2.16      	2.18      	2.19      	2.17      	3.25      	3.25
2R:6700000..6800000      	2.19      	2.21      	2.23      	3.25      	4.34      	4.34
2R:6800000..6900000      	2.23      	2.25      	2.27      	4.34      	3.15      	3.15
2R:6900000..7000000      	2.27      	2.29      	2.31      	3.15      	8.03      	8.03
2R:7000000..7100000      	2.31      	2.33      	2.35      	8.03      	4.12      	4.12
2R:7100000..7200000      	2.35      	2.36      	2.38      	4.12      	2.71      	2.71
2R:7200000..7300000      	2.38      	2.40      	2.42      	2.71      	1.41      	1.41
2R:7300000..7400000      	2.42      	2.44      	2.45      	1.41      	2.49      	2.49
2R:7400000..7500000      	2.45      	2.47      	2.49      	2.49      	3.90      	3.90
2R:7500000..7600000      	2.49      	2.51      	2.52      	3.90      	7.70      	7.70
2R:7600000..7700000      	2.52      	2.54      	2.56      	7.70      	2.06      	2.06
2R:7700000..7800000      	2.56      	2.57      	2.59      	2.06      	1.30      	1.30
2R:7800000..7900000      	2.59      	2.61      	2.62      	1.30      	2.93      	2.93
2R:7900000..8000000      	2.62      	2.64      	2.66      	2.93      	8.24      	8.24
2R:8000000..8100000      	2.66      	2.67      	2.69      	8.24      	2.60      	2.60
2R:8100000..8200000      	2.69      	2.70      	2.72      	2.60      	5.86      	5.86
2R:8200000..8300000      	2.72      	2.74      	2.75      	5.86      	3.36      	3.36
2R:8300000..8400000      	2.75      	2.77      	2.78      	3.36      	3.36      	3.36
2R:8400000..8500000      	2.78      	2.80      	2.81      	3.36      	3.90      	3.90
2R:8500000..8600000      	2.81      	2.83      	2.84      	3.90      	6.83      	6.83
2R:8600000..8700000      	2.84      	2.86      	2.87      	6.83      	8.46      	8.46
2R:8700000..8800000      	2.87      	2.89      	2.90      	8.46      	1.52      	1.52
2R:8800000..8900000      	2.90      	2.92      	2.93      	1.52      	5.75      	5.75
2R:8900000..9000000      	2.93      	2.94      	2.96      	5.75      	2.39      	2.39
2R:9000000..9100000      	2.96      	2.97      	2.98      	2.39      	1.08      	1.08
2R:9100000..9200000      	2.98      	3.00      	3.01      	1.08      	2.39      	2.39
2R:9200000..9300000      	3.01      	3.03      	3.04      	2.39      	2.39      	2.39
2R:9300000..9400000      	3.04      	3.05      	3.06      	2.39      	1.74      	1.74
2R:9400000..9500000      	3.06      	3.08      	3.09      	1.74      	2.28      	2.28
2R:9500000..9600000      	3.09      	3.10      	3.12      	2.28      	2.82      	2.82
2R:9600000..9700000      	3.12      	3.13      	3.14      	2.82      	1.08      	1.08
2R:9700000..9800000      	3.14      	3.15      	3.16      	1.08      	3.58      	3.58
2R:9800000..9900000      	3.16      	3.18      	3.19      	3.58      	2.17      	2.17
2R:9900000..10000000      	3.19      	3.20      	3.21      	2.17      	6.72      	6.72
2R:10000000..10100000      	3.21      	3.22      	3.23      	6.72      	3.69      	3.69
2R:10100000..10200000      	3.23      	3.25      	3.26      	3.69      	4.23      	4.23
2R:10200000..10300000      	3.26      	3.27      	3.28      	4.23      	5.21      	5.21
2R:10300000..10400000      	3.28      	3.29      	3.30      	5.21      	1.74      	1.74
2R:10400000..10500000      	3.30      	3.31      	3.32      	1.74      	3.36      	3.36
2R:10500000..10600000      	3.32      	3.33      	3.34      	3.36      	2.49      	2.49
2R:10600000..10700000      	3.34      	3.35      	3.36      	2.49      	1.95      	1.95
2R:10700000..10800000      	3.36      	3.37      	3.38      	1.95      	1.41      	1.41
2R:10800000..10900000      	3.38      	3.39      	3.40      	1.41      	4.34      	4.34
2R:10900000..11000000      	3.40      	3.41      	3.42      	4.34      	6.07      	6.07
2R:11000000..11100000      	3.42      	3.43      	3.44      	6.07      	1.08      	1.08
2R:11100000..11200000      	3.44      	3.45      	3.46      	1.08      	1.30      	1.30
2R:11200000..11300000      	3.46      	3.46      	3.47      	1.30      	3.36      	3.36
2R:11300000..11400000      	3.47      	3.48      	3.49      	3.36      	1.30      	1.30
2R:11400000..11500000      	3.49      	3.50      	3.51      	1.30      	4.45      	4.45
2R:11500000..11600000      	3.51      	3.51      	3.52      	4.45      	2.93      	2.93
2R:11600000..11700000      	3.52      	3.53      	3.54      	2.93      	4.12      	4.12
2R:11700000..11800000      	3.54      	3.54      	3.55      	4.12      	2.17      	2.17
2R:11800000..11900000      	3.55      	3.56      	3.57      	2.17      	3.90      	3.90
2R:11900000..12000000      	3.57      	3.57      	3.58      	3.90      	3.58      	3.58
2R:12000000..12100000      	3.58      	3.59      	3.59      	3.58      	6.72      	6.72
2R:12100000..12200000      	3.59      	3.60      	3.61      	6.72      	8.13      	8.13
2R:12200000..12300000      	3.61      	3.61      	3.62      	8.13      	3.15      	3.15
2R:12300000..12400000      	3.62      	3.63      	3.63      	3.15      	4.45      	4.45
2R:12400000..12500000      	3.63      	3.64      	3.64      	4.45      	4.56      	4.56
2R:12500000..12600000      	3.64      	3.65      	3.65      	4.56      	8.13      	8.13
2R:12600000..12700000      	3.65      	3.66      	3.67      	8.13      	3.58      	3.58
2R:12700000..12800000      	3.67      	3.67      	3.68      	3.58      	2.06      	2.06
2R:12800000..12900000      	3.68      	3.68      	3.69      	2.06      	2.93      	2.93
2R:12900000..13000000      	3.69      	3.69      	3.69      	2.93      	1.63      	1.63
2R:13000000..13100000      	3.69      	3.70      	3.70      	1.63      	2.93      	2.93
2R:13100000..13200000      	3.70      	3.71      	3.71      	2.93      	1.74      	1.74
2R:13200000..13300000      	3.71      	3.72      	3.72      	1.74      	4.99      	4.99
2R:13300000..13400000      	3.72      	3.72      	3.73      	4.99      	2.82      	2.82
2R:13400000..13500000      	3.73      	3.73      	3.73      	2.82      	0.54      	0.54
2R:13500000..13600000      	3.73      	3.74      	3.74      	0.54      	3.04      	3.04
2R:13600000..13700000      	3.74      	3.74      	3.75      	3.04      	2.39      	2.39
2R:13700000..13800000      	3.75      	3.75      	3.75      	2.39      	4.01      	4.01
2R:13800000..13900000      	3.75      	3.76      	3.76      	4.01      	7.81      	7.81
2R:13900000..14000000      	3.76      	3.76      	3.76      	7.81      	4.45      	4.45
2R:14000000..14100000      	3.76      	3.76      	3.77      	4.45      	3.15      	3.15
2R:14100000..14200000      	3.77      	3.77      	3.77      	3.15      	5.64      	5.64
2R:14200000..14300000      	3.77      	3.77      	3.77      	5.64      	3.15      	3.15
2R:14300000..14400000      	3.77      	3.77      	3.78      	3.15      	3.25      	3.25
2R:14400000..14500000      	3.78      	3.78      	3.78      	3.25      	3.15      	3.15
2R:14500000..14600000      	3.78      	3.78      	3.78      	3.15      	7.27      	7.27
2R:14600000..14700000      	3.78      	3.78      	3.78      	7.27      	3.69      	3.69
2R:14700000..14800000      	3.78      	3.78      	3.78      	3.69      	8.89      	8.89
2R:14800000..14900000      	3.78      	3.78      	3.78      	8.89      	3.58      	3.58
2R:14900000..15000000      	3.78      	3.78      	3.78      	3.58      	4.12      	4.12
2R:15000000..15100000      	3.78      	3.78      	3.78      	4.12      	5.64      	5.64
2R:15100000..15200000      	3.78      	3.78      	3.78      	5.64      	4.88      	4.88
2R:15200000..15300000      	3.78      	3.78      	3.78      	4.88      	4.23      	4.23
2R:15300000..15400000      	3.78      	3.78      	3.78      	4.23      	2.28      	2.28
2R:15400000..15500000      	3.78      	3.78      	3.78      	2.28      	1.95      	1.95
2R:15500000..15600000      	3.78      	3.77      	3.77      	1.95      	1.30      	1.30
2R:15600000..15700000      	3.77      	3.77      	3.77      	1.30      	0.43      	0.43
2R:15700000..15800000      	3.77      	3.77      	3.77      	0.43      	1.63      	1.63
2R:15800000..15900000      	3.77      	3.76      	3.76      	1.63      	1.74      	1.74
2R:15900000..16000000      	3.76      	3.76      	3.76      	1.74      	0.22      	0.22
2R:16000000..16100000      	3.76      	3.75      	3.75      	0.22      	3.04      	3.04
2R:16100000..16200000      	3.75      	3.75      	3.75      	3.04      	4.56      	4.56
2R:16200000..16300000      	3.75      	3.74      	3.74      	4.56      	5.31      	5.31
2R:16300000..16400000      	3.74      	3.74      	3.73      	5.31      	3.36      	3.36
2R:16400000..16500000      	3.73      	3.73      	3.73      	3.36      	3.80      	3.80
2R:16500000..16600000      	3.73      	3.72      	3.72      	3.80      	6.72      	6.72
2R:16600000..16700000      	3.72      	3.72      	3.71      	6.72      	3.58      	3.58
2R:16700000..16800000      	3.71      	3.71      	3.70      	3.58      	2.71      	2.71
2R:16800000..16900000      	3.70      	3.70      	3.69      	2.71      	7.16      	7.16
2R:16900000..17000000      	3.69      	3.69      	3.68      	7.16      	2.60      	2.60
2R:17000000..17100000      	3.68      	3.68      	3.67      	2.60      	5.42      	5.42
2R:17100000..17200000      	3.67      	3.67      	3.66      	5.42      	7.48      	7.48
2R:17200000..17300000      	3.66      	3.66      	3.65      	7.48      	2.60      	2.60
2R:17300000..17400000      	3.65      	3.65      	3.64      	2.60      	2.49      	2.49
2R:17400000..17500000      	3.64      	3.64      	3.63      	2.49      	6.07      	6.07
2R:17500000..17600000      	3.63      	3.62      	3.62      	6.07      	5.10      	5.10
2R:17600000..17700000      	3.62      	3.61      	3.61      	5.10      	2.60      	2.60
2R:17700000..17800000      	3.61      	3.60      	3.59      	2.60      	2.49      	2.49
2R:17800000..17900000      	3.59      	3.59      	3.58      	2.49      	1.74      	1.74
2R:17900000..18000000      	3.58      	3.57      	3.57      	1.74      	2.71      	2.71
2R:18000000..18100000      	3.57      	3.56      	3.55      	2.71      	2.17      	2.17
2R:18100000..18200000      	3.55      	3.54      	3.54      	2.17      	2.49      	2.49
2R:18200000..18300000      	3.54      	3.53      	3.52      	2.49      	0.98      	0.98
2R:18300000..18400000      	3.52      	3.51      	3.50      	0.98      	8.35      	8.35
2R:18400000..18500000      	3.50      	3.50      	3.49      	8.35      	3.15      	3.15
2R:18500000..18600000      	3.49      	3.48      	3.47      	3.15      	1.63      	1.63
2R:18600000..18700000      	3.47      	3.46      	3.45      	1.63      	2.28      	2.28
2R:18700000..18800000      	3.45      	3.44      	3.44      	2.28      	3.15      	3.15
2R:18800000..18900000      	3.44      	3.43      	3.42      	3.15      	2.49      	2.49
2R:18900000..19000000      	3.42      	3.41      	3.40      	2.49      	3.15      	3.15
2R:19000000..19100000      	3.40      	3.39      	3.38      	3.15      	2.39      	2.39
2R:19100000..19200000      	3.38      	3.37      	3.36      	2.39      	1.41      	1.41
2R:19200000..19300000      	3.36      	3.35      	3.34      	1.41      	0.87      	0.87
2R:19300000..19400000      	3.34      	3.33      	3.32      	0.87      	7.48      	7.48
2R:19400000..19500000      	3.32      	3.31      	3.30      	7.48      	6.40      	6.40
2R:19500000..19600000      	3.30      	3.29      	3.28      	6.40      	3.80      	3.80
2R:19600000..19700000      	3.28      	3.27      	3.25      	3.80      	5.86      	5.86
2R:19700000..19800000      	3.25      	3.24      	3.23      	5.86      	1.84      	1.84
2R:19800000..19900000      	3.23      	3.22      	3.21      	1.84      	2.17      	2.17
2R:19900000..20000000      	3.21      	3.20      	3.19      	2.17      	1.52      	1.52
2R:20000000..20100000      	3.19      	3.17      	3.16      	1.52      	1.74      	1.74
2R:20100000..20200000      	3.16      	3.15      	3.14      	1.74      	3.47      	3.47
2R:20200000..20300000      	3.14      	3.13      	3.11      	3.47      	1.30      	1.30
2R:20300000..20400000      	3.11      	3.10      	3.09      	1.30      	2.39      	2.39
2R:20400000..20500000      	3.09      	3.08      	3.06      	2.39      	1.30      	1.30
2R:20500000..20600000      	3.06      	3.05      	3.04      	1.30      	2.39      	2.39
2R:20600000..20700000      	3.04      	3.02      	3.01      	2.39      	1.84      	1.84
2R:20700000..20800000      	3.01      	3.00      	2.98      	1.84      	3.58      	3.58
2R:20800000..20900000      	2.98      	2.97      	0.00      	3.58      	0.22      	0.22
2R:20900000..21000000      	0.00      	0.00      	0.00      	0.22      	0.11      	0.11
2R:21000000..21100000      	0.00      	0.00      	0.00      	0.11      	0.00      	0.00
